Part Name,Quantity,Price (Rs.),Purchase Link
Baseus USB-C to USB-C 100W LED Display Cable,1,2990,https://www.daraz.pk/products/baseus-usb-type-c-to-type-c-cable-with-led-display-pd-100w-nylon-braided-usb-c-to-usb-c-cable-for-samsunghuaweitabslaptops-i315805636.html?utm_source=chatgpt.com
LDNIO Q408 100W 4-Port GaN Charger,1,8999,https://www.daraz.pk/products/ldnio-q408-100-4-usb-pd-was-ldnio-q408-100-pd-usb-c-gan-usb-c-ldnio-q408-100w-gan-100w-1-usb-3-c-i923997283-s3980518170.html
830 Point Breadboard,1,410,https://www.daraz.pk/products/high-quality-solderless-breadboard-830-points-prototyping-board-for-diy-electronics-projects-breadboard-400-points-breadboard-mini-breadboard-small-breadboards-i748572599-s3998974901.html
100mm Watch Glass,1,442,https://www.daraz.pk/products/watch-glass-beaker-cover-set-1-pcs-thickened-lab-watch-glasses-in-100mm-for-laboratory-science-and-chemical-experiment-watch-glass-beaker-cover-laboratory-high-temperature-resistant-plain-watch-glass-equipment-for-chemistry-100mm-transparent-i259816902.html?utm_source=chatgpt.com
100mm Magnifying Glass,1,599,https://www.daraz.pk/products/100mm-magnifying-glass-crystal-clear-lens-i592596166.html?utm_source=chatgpt.com
Raspberry Pi 5 8GB,1,70000,https://www.daraz.pk/products/5-8gb-5-i1963127793-s14038966554.html
PAM8403 Amplifier Board,1,1477,https://www.daraz.pk/products/pam8403-diy-2x5w-50-2-dc5v-i1964299956-s14043378642.html
3 Inch 4 Ohm 5W Woofer (2pcs),1,499,https://www.daraz.pk/products/3-45-4-5-2-i1948918285-s14012396420.html
SPH0645 MEMS Microphone,1,1519,https://www.daraz.pk/products/microphone-module-i2s-interface-mems-breakout-board-with-pin-sph0645-i291185570.html
Raspberry Pi Camera Module 5MP,1,1930,https://www.daraz.pk/products/raspberry-pi-3-4-b-1080p-720p-5mp-raspberry-pi-b-smd-i1953913959-s14015349772.html
2.4 inch TFT LCD Shield,1,5400,https://www.daraz.pk/products/24-inch-tft-lcd-shield-with-touch-panel-lcd-for-arduino-uno-i485173541.html
40Pin IDC Ribbon Cable 200mm,2,1420,https://www.daraz.pk/products/254-40-ff-idc-200-i475875434-s2236354230.html
30cm Arduino Jumper Cable,10,1640,https://www.daraz.pk/products/30cm-12inch-arduino-jumper-cable-male-to-male-male-to-female-female-to-female-hole-to-hole-pin-to-hole-pin-to-pin-ribbon-cable-i108844134-s1290599875.html
Romoss PEA57 60000mAh Power Bank,1,2489,https://www.daraz.pk/products/romoss-60000-mah-power-bank-pea57-romoss-mobile-charging-power-bank-225-watt-pd-fast-charging-power-bank-i263062621.html
USB Cable With On/Off Switch,1,2399,https://hfshop.com.pk/products/usb-cable-with-on-off-switch?variant=49226333782296
